organisation,category,location_service_area,official_website,public_business_contact_route,potential_partnership,mutual_value,conflicts_independence_risks,timing,priority,source,research_date
Zanda Wealth Mortgage Brokers,Mortgage broker,Adelaide CBD (Pirie St) + SA,https://zandawealth.com.au/mortgage-brokers-adelaide/,Public website contact form / listed office,"Referral relationship; brokers hand clients a fast honest Deal Brief as a pre-finance screening aid","Broker adds a value-add tool for investor clients; Propellect gains warm, pre-qualified SA investors","Low — complementary not competing; keep it a referral partnership, no data-sharing, no revenue-share promised in beta",Beta seed → Post-beta formalise,P2,https://zandawealth.com.au/mortgage-brokers-adelaide/,2026-08-16
Hypotheque (Adelaide),Mortgage broker,Adelaide + SA,https://hypotheque.com.au/locations/adelaide/,Public website contact form,"Referral / client-screening tool angle","Warm investor client stream; complementary tooling","Low — complementary; independence maintained (no lender/commission tie)",Post-beta,P3,https://hypotheque.com.au/locations/adelaide/,2026-08-16
Atelier Wealth (Adelaide page),Mortgage broker,Adelaide (national brand),https://atelierwealth.com.au/locations/mortgage-broker-adelaide/,Public website contact form,"Referral relationship",Warm investor clients,"Low — complementary; confirm genuine SA presence vs national brand page",Post-beta,P3,https://atelierwealth.com.au/locations/mortgage-broker-adelaide/,2026-08-16
JSA Accounting,Property-focused accountant,Adelaide + SA,https://jsaaccounting.com.au/taxation-accounting/property-investments,Public website contact form,"Referral; accountant shares an honest analysis tool with investor clients","Value-add for clients; Propellect gains high-intent, sophisticated SA investors","Low — complementary; must keep no-financial-advice / no-valuation boundary explicit so partner's advice role is respected",Beta seed → Post-beta,P2,https://jsaaccounting.com.au/taxation-accounting/property-investments,2026-08-16
TTO Financial Solutions,Property-focused accountant,Adelaide + SA,https://ttoca.com.au/services/property-accountants-adelaide/,Public website contact form,"Referral relationship",Warm investor client base,"Low — complementary; respect adviser boundary",Post-beta,P3,https://ttoca.com.au/services/property-accountants-adelaide/,2026-08-16
Tax Accounting Adelaide,Property-focused accountant,Adelaide + SA,https://www.taxaccountingadelaide.com/property-investment-tax-advice/,Public website contact form,"Referral relationship",Investor client stream,"Low — complementary; respect adviser boundary",Post-beta,P3,https://www.taxaccountingadelaide.com/property-investment-tax-advice/,2026-08-16
Ashmans Accounting,Property-focused accountant (Chartered),Adelaide + SA,https://ashmans.com.au/services/property-investors,Public website contact form,"Referral relationship",Investor client stream + credibility (Chartered),"Low — complementary; respect adviser boundary",Post-beta,P3,https://ashmans.com.au/services/property-investors,2026-08-16
REBAA (Real Estate Buyers Agents Association of Australia),Association (buyer's agents),National incl. SA members,https://rebaa.com.au/location/sa/,Public website / association contact,"Research conversations with SA members to sharpen ICP; NOT a referral funnel","Propellect learns real investor decision workflows; agents see a labelled, honest tool","MEDIUM-HIGH — buyer's agents perform the deal-analysis Propellect partly substitutes; treat as research + independence, avoid implied endorsement",Later (research now),P3,https://rebaa.com.au/location/sa/,2026-08-16
Ellam Property Buyers (Jess Ellam, PIPA QPIA / REBAA),Buyer's agency,Adelaide + SA,https://ellamproperty.com.au/,Public website contact form,"Research/ICP conversation; possible educator collaboration later","Insight into SA investor decisions; credibility of a QPIA","MEDIUM-HIGH — competitor-adjacent (does buyer analysis); keep independent, no endorsement claim",Later (research now),P4,https://ellamproperty.com.au/buyers-agent-adelaide-2/,2026-08-16
PIPA (Property Investment Professionals of Australia),Association / accreditation body,National (SA-qualified QPIAs),https://www.pipa.asn.au/,Public website / association contact,"Credibility reference; QPIA-qualified partners; honest-positioning alignment","Aligns Propellect with professional standards; access to qualified advisers who refer clients","Low-Med — association is neutral; do not imply PIPA endorsement without agreement",Post-beta,P3,https://www.pipa.asn.au/,2026-08-16
